"FOLIO","SEXO","OPC_ED01"
330103055,"M","S054000"
330207740,"M","S054000"
330402639,"M","S054000"
330201742,"M","S054000"
330300417,"M","S054000"
300104104,"M","S054000"
330308225,"M","S054000"
330201911,"M","S054000"
310709275,"M","S054000"
310502039,"M","S054000"
330103362,"M","S054000"
330205466,"M","S054000"
310909261,"M","S054000"
330103775,"M","S054000"
330200544,"M","S054000"
330502064,"M","S054000"
330104430,"M","S054000"
330101969,"M","S054000"
330303828,"M","S054000"
330101475,"M","S054000"
330102502,"M","S054000"
330104100,"M","S054000"
310705484,"M","S054000"
330304401,"M","S054000"
330103951,"M","S054000"
330501343,"M","S054000"
330305077,"M","S054000"
330203426,"M","S054000"
330105344,"M","S054000"
330306827,"M","S054000"
330407690,"M","S054000"
310311100,"M","S054000"
330206991,"M","S054000"
310409203,"M","S054000"
330103968,"M","S054000"
330600263,"M","S054000"
330302785,"M","S054000"
330207231,"M","S054000"
330302143,"M","S054000"
330200355,"M","S054000"
330108477,"M","S054000"
20201062,"M","S054000"
330501598,"M","S054000"
330502204,"M","S054000"
330101142,"M","S054000"
330407658,"M","S054000"
330405434,"M","S054000"
330506898,"M","S054000"
330101565,"M","S054000"
330502499,"M","S054000"
330408745,"M","S054000"
330302760,"M","S054000"
310201360,"M","S054000"
330308535,"M","S054000"
330304153,"M","S054000"
310606890,"M","S054000"
310705573,"M","S054000"
330401187,"M","S054000"
330504817,"M","S054000"
330404804,"M","S054000"
330206132,"M","S054000"
330304600,"M","S054000"
330305792,"M","S054000"
330306699,"M","S054000"
330106050,"M","S054000"
330306877,"M","S054000"
330506251,"M","S054000"
330401527,"M","S054000"
330305243,"M","S054000"
11734198,"M","S054000"
310803607,"M","S054000"
330301749,"M","S054000"
330100316,"M","S054000"
330203688,"M","S054000"
330306361,"M","S054000"
330503938,"M","S054000"
330502543,"M","S054000"
330303303,"M","S054000"
310201140,"M","S054000"
330501903,"M","S054000"
311002052,"H","S054000"
330302013,"H","S054000"
310608296,"H","S054000"
330303275,"H","S054000"
330407828,"H","S054000"
330307110,"H","S054000"
330303212,"H","S054000"
330108725,"H","S054000"
330101352,"H","S054000"
80301320,"H","S054000"
330108080,"H","S054000"
330104391,"H","S054000"
330402424,"H","S054000"
330506857,"H","S054000"
330301416,"H","S054000"
330502386,"H","S054000"
330401692,"H","S054000"
330207768,"H","S054000"
330306958,"H","S054000"
10332485,"H","S054000"
330507483,"H","S054000"
330401782,"H","S054000"
330103428,"H","S054000"
330103168,"H","S054000"
330205355,"H","S054000"
330204061,"H","S054000"
310404067,"H","S054000"
330201288,"H","S054000"
330108333,"H","S054000"
330305167,"H","S054000"
330308458,"H","S054000"
330208282,"H","S054000"
330505121,"H","S054000"
311001491,"H","S054000"
311000810,"H","S054000"
310410368,"H","S054000"
300701966,"H","S054000"
330203489,"H","S054000"
330202620,"H","S054000"
12212789,"H","S054000"
330405468,"H","S054000"
330308624,"H","S054000"
330407951,"H","S054000"
330303611,"H","S054000"
330207643,"H","S054000"
330108383,"H","S054000"
330103682,"H","S054000"
319505036,"H","S054000"
330300341,"H","S054000"
330503685,"H","S054000"
11734632,"H","S054000"
19803514,"H","S054000"
330102757,"H","S054000"
330303916,"H","S054000"
310904002,"H","S054000"
330505503,"H","S054000"
330303613,"H","S054000"
330400356,"H","S054000"
330207101,"H","S054000"
330308111,"H","S054000"
330100529,"H","S054000"
310807209,"H","S054000"
330200221,"H","S054000"
330500035,"H","S054000"
330503479,"H","S054000"
12133834,"H","S054000"
330303675,"H","S054000"
330400567,"H","S054000"
330106353,"H","S054000"
330106722,"H","S054000"
170508751,"H","S054000"
330202607,"H","S054000"
330403190,"H","S054000"
330102094,"H","S054000"
310503394,"H","S054000"
330503434,"H","S054000"
330106334,"H","S054000"
330303713,"H","S054000"
330507188,"H","S054000"
11429262,"H","S054000"
330202753,"H","S054000"
330508330,"H","S054000"
310305676,"H","S054000"
330104684,"H","S054000"
330201058,"H","S054000"
310910905,"H","S054000"
330401074,"H","S054000"
310400556,"H","S054000"
310400462,"H","S054000"
310408569,"H","S054000"
330304948,"H","S054000"
330205954,"H","S054000"
330105686,"H","S054000"
330105991,"H","S054000"
311006337,"H","S054000"
330403945,"H","S054000"
330101799,"H","S054000"
330406433,"H","S054000"
330103143,"H","S054000"
330407082,"H","S054000"
330108451,"H","S054000"
330305002,"H","S054000"
330200450,"H","S054000"
330505603,"H","S054000"
330301518,"H","S054000"
330400509,"H","S054000"
13239385,"H","S054000"
330405501,"H","S054000"
330304738,"H","S054000"
330500056,"H","S054000"
330106276,"H","S054000"
310304975,"H","S054000"
330206211,"H","S054000"
310504995,"H","S054000"
310703564,"H","S054000"
330505707,"H","S054000"
310206016,"H","S054000"
310703936,"H","S054000"
310410744,"H","S054000"
330500566,"H","S054000"
330302663,"H","S054000"
330406561,"H","S054000"
330100786,"H","S054000"
330502440,"H","S054000"
330103760,"H","S054000"
330501438,"H","S054000"
330507577,"H","S054000"
330401039,"H","S054000"
330302136,"H","S054000"
330205697,"H","S054000"
330206493,"H","S054000"
330300485,"H","S054000"
330301229,"H","S054000"
330308504,"H","S054000"
330207692,"H","S054000"
330106783,"H","S054000"
330305073,"H","S054000"
330308100,"H","S054000"
330305221,"H","S054000"
330108464,"H","S054000"
310600524,"H","S054000"
330107785,"H","S054000"
310606785,"H","S054000"
330308208,"H","S054000"
330201367,"H","S054000"
310710333,"H","S054000"
330106905,"H","S054000"
20100001,"H","S054000"
330105881,"H","S054000"
330504246,"H","S054000"
311001699,"H","S054000"
310410875,"H","S054000"
330100474,"H","S054000"
310808499,"H","S054000"
330302987,"H","S054000"
330101273,"H","S054000"
330108494,"H","S054000"
330406423,"H","S054000"
330406612,"H","S054000"
330507824,"H","S054000"
330106331,"H","S054000"
310303107,"H","S054000"
330105988,"H","S054000"
330207754,"H","S054000"
330102087,"H","S054000"
330502847,"H","S054000"
330205551,"H","S054000"
330302683,"H","S054000"
310302778,"H","S054000"
330501043,"H","S054000"
330407191,"H","S054000"
330303140,"H","S054000"
