"","FOLIO","SEXO","OPC_ED01"
"228","010614958","M","S763000"
"229","010618021","M","S763000"
"230","010628708","M","S132313"
"231","010629001","M","S134313"
"232","010629507","H","S805000"
"233","010630491","M","S477070"
"234","010632843","H","S464044"
"235","010633599","H","S458044"
"236","010634720","H","S458044"
"237","010635517","H","S132313"
"238","010635617","H","S573013"
"239","010637937","M","S574087"
"240","010637945","H","S825000"
"241","010638541","H","S134313"
"242","010639318","M","S456036"
"243","010639807","M","S132313"
"244","010642509","H","S715000"
"245","010644369","M","S574015"
"246","010647787","H","S715000"
"247","010650095","M","S711000"
"248","010650100","H","S724000"
"249","010704869","M","S134313"
"250","010707217","M","S575094"
"251","010708821","M","S134313"
"252","010709368","M","S132302"
"253","010710456","H","S574087"
"254","010712413","M","S477070"
"255","010715845","H","S846000"
"256","010717268","M","S477035"
"257","010718159","H","S132302"
"258","010719503","M","S477039"
"259","010721057","M","S715000"
"260","010722325","H","S571086"
"261","010722867","H","S555092"
"262","010723818","H","S715000"
"263","010724359","H","S477039"
"264","010724880","H","S724000"
"265","010724958","M","S574087"
"266","010726085","H","S574015"
"267","010728879","H","S456036"
"268","010729108","M","S464044"
"269","010729321","M","S711000"
"270","010729692","M","S705000"
"271","010730414","H","S477070"
"272","010730532","M","S724000"
"273","010730746","H","S132302"
"274","010732489","M","S477039"
"275","010732786","H","S574015"
"276","010736488","M","S132313"
"277","010737227","M","S574087"
"278","010738614","H","S715000"
"279","010739219","M","S477035"
"280","010740500","H","S575020"
"281","010741081","H","S477039"
"282","010741932","H","S825000"
"283","010742788","H","S477039"
"284","010743475","H","S134313"
"285","010746443","M","S574087"
"286","010747282","M","S575020"
"287","010747839","M","S705000"
"288","010748980","H","S132302"
"289","010804273","H","S573013"
"290","010804460","M","S134313"
"291","010804999","M","S825000"
"292","010805677","H","S711000"
"293","010805989","H","S477035"
"294","010807338","M","S573013"
"295","010808154","M","S705000"
"296","010808222","H","S467092"
"297","010809062","M","S473044"
"298","010809107","M","S477039"
"299","010809476","M","S573013"
"300","010809722","M","S571086"
"301","010811179","M","S477070"
"302","010811834","M","S554013"
"303","010812841","M","S458044"
"304","010817597","H","S724000"
"305","010820183","M","S132313"
"306","010820331","M","S134313"
"307","010820715","M","S458044"
"308","010823113","M","S477035"
"309","010823746","M","S705000"
"310","010823900","M","S715000"
"311","010825207","H","S763000"
"312","010828928","H","S805000"
"313","010829091","M","S134313"
"314","010830749","M","S574087"
"315","010831388","M","S763000"
"316","010832336","M","S477039"
"317","010833828","H","S715000"
"318","010835002","H","S473044"
"319","010835426","H","S477039"
"320","010835952","H","S805000"
"321","010838780","M","S574015"
"322","010838868","M","S458044"
"323","010840743","M","S463070"
"324","010841236","M","S458044"
"325","010842141","M","S458044"
"326","010905408","M","S132313"
"327","010905561","H","S574087"
"328","010906103","H","S711000"
"329","010909404","M","S709000"
"330","010911712","M","S574087"
"331","010912756","M","S477070"
"332","010913377","H","S846000"
"333","010914473","H","S477046"
"334","010916258","H","S571086"
"335","010917729","M","S132302"
"336","010918576","H","S573087"
"337","010918963","H","S477035"
"338","010919738","H","S724000"
"339","010920532","H","S477046"
"340","010923110","M","S456036"
"341","010923348","M","S575094"
"342","010923769","M","S477035"
"343","010925752","H","S763000"
"344","010926809","H","S477070"
"345","010928426","M","S477070"
"346","010928455","H","S132313"
"347","010930330","M","S134313"
"348","010930425","M","S132313"
"349","010930539","M","S477046"
"350","010931343","H","S477039"
"351","010931997","H","S132313"
"352","010932130","H","S573013"
"353","010932721","H","S477046"
"354","010932872","M","S456036"
"355","010933409","H","S574015"
"356","010933597","M","S458044"
"357","010933627","H","S458044"
"358","010933849","H","S705000"
"359","010935049","M","S724000"
"360","010935286","M","S763000"
"361","010936212","M","S458044"
"362","010937005","H","S571086"
"363","010937278","M","S477035"
"364","010938667","M","S477039"
"365","010939753","M","S477046"
"366","010941151","M","S477035"
"367","010941714","M","S458044"
"368","010941858","M","S715000"
"369","010941916","H","S705000"
"370","010942035","M","S724000"
"371","010942070","H","S477046"
"372","010942725","M","S477035"
"373","010942911","H","S567087"
"374","010943086","M","S132302"
"375","010944595","H","S724000"
"376","010945178","M","S132313"
"377","010946635","H","S567087"
"378","010947760","H","S132302"
"379","010949357","H","S763000"
"380","011004890","H","S132313"
"381","011005109","M","S134313"
"382","011005944","M","S054000"
"383","011009053","M","S132302"
"384","011009129","M","S571086"
"385","011010029","H","S846000"
"386","011011566","M","S132313"
"387","011011862","H","S846000"
"388","011012267","M","S477039"
"389","011013484","H","S458044"
"390","011015114","H","S132313"
"391","011018897","M","S477070"
"392","011021062","H","S477070"
"393","011021837","H","S571086"
"394","011022324","M","S573013"
"395","011023894","M","S473044"
"396","011024613","H","S763000"
"397","011027529","M","S574087"
"398","011027746","H","S456076"
"399","011028013","H","S825000"
"400","011030416","H","S574087"
"401","011030754","M","S477035"
"402","011031263","M","S724000"
"403","011032100","M","S763000"
"404","011035852","M","S458044"
"405","011041579","M","S557094"
"406","011042107","H","S705000"
"407","011049836","M","S477070"
"408","011104364","H","S477070"
"409","011104524","M","S477046"
"410","011105314","M","S132313"
"411","011106719","H","S132313"
"412","011106798","H","S711000"
"413","011107230","H","S573087"
"414","011107416","H","S477070"
"415","011107428","H","S132302"
"416","011108585","H","S134313"
"417","011110682","M","S573013"
"418","011111595","M","S134313"
"419","011112323","H","S477039"
"420","011112572","H","S724000"
"421","011112780","H","S846000"
"422","011112943","H","S458044"
"423","011114636","M","S715000"
"424","011115010","H","S458044"
"425","011116550","M","S134313"
"426","011118051","H","S724000"
"427","011118216","H","S575094"
"428","011118779","H","S134313"
"429","011120687","M","S458044"
"430","011122645","M","S574087"
"431","011123022","H","S477046"
"432","011123558","H","S574087"
"433","011125737","M","S477070"
"434","011126795","H","S554013"
"435","011126961","H","S574087"
"436","011129863","M","S567060"
"437","011130375","M","S452069"
"438","011130586","H","S463070"
"439","011132078","H","S724000"
"440","011132553","M","S724000"
"441","011132639","M","S571086"
"442","011134718","M","S724000"
"443","011135292","H","S477035"
"444","011136535","H","S477035"
"445","011137235","M","S477070"
"446","011137990","H","S709000"
"447","011139140","M","S132313"
"448","011139258","H","S132302"
"449","011140672","H","S724000"
"450","011141104","M","S846000"
"451","011141391","M","S724000"
"452","011141463","M","S715000"
"453","011142878","M","S574015"
"454","011144164","H","S724000"
"455","011145942","H","S477070"
"456","011147276","H","S575020"
"457","011148116","M","S458044"
"458","011204714","H","S134313"
"459","011204994","H","S134313"
"460","011206222","M","S132313"
"461","011207003","M","S452069"
"462","011207849","M","S132313"
"463","011209035","M","S132313"
"464","011209348","H","S724000"
"465","011209625","M","S477070"
"466","011210495","M","S724000"
"467","011213609","H","S477070"
"468","011214763","M","S846000"
"469","011214932","M","S477035"
"470","011215337","H","S467092"
"471","011220515","H","S132313"
"472","011222038","M","S724000"
"473","011222323","M","S452069"
"474","011223284","M","S573087"
"475","011223714","M","S132313"
"476","011225125","H","S458044"
"477","011225277","M","S846000"
"478","011225747","H","S132302"
"479","011226295","M","S763000"
"480","011228899","M","S573013"
"481","011229562","H","S132313"
"482","011230487","H","S132313"
"483","011230516","H","S458044"
"484","011230737","H","S724000"
"485","011230941","H","S458044"
"486","011232064","H","S467092"
"487","011232914","H","S132313"
"488","011232972","H","S715000"
"489","011233358","M","S724000"
"490","011233619","H","S846000"
"491","011233839","H","S134313"
"492","011234526","M","S715000"
"493","011234898","M","S477035"
"494","011237488","H","S456036"
"495","011240031","M","S132313"
"496","011240627","H","S132313"
"497","011241685","H","S458044"
"498","011241838","M","S477046"
"499","011243122","H","S574087"
"500","011244003","H","S458044"
"501","011244493","H","S825000"
"502","011244900","H","S132313"
"503","011245141","H","S132313"
"504","011246693","M","S763000"
"505","011248503","M","S724000"
"506","011249877","H","S715000"
"507","011308111","M","S763000"
"508","011309330","H","S846000"
"509","011309514","H","S458044"
"510","011309880","M","S477035"
"511","011310993","H","S571086"
"512","011314617","H","S477046"
"513","011316769","H","S477070"
"514","011317918","H","S571086"
"515","011318590","H","S724000"
"516","011318626","H","S574015"
"517","011320641","M","S477070"
"518","011320927","M","S705000"
"519","011325202","H","S846000"
"520","011325674","H","S132313"
"521","011327455","H","S573013"
"522","011327731","M","S456036"
"523","011329889","H","S705000"
"524","011330413","H","S571086"
"525","011330641","M","S574087"
"526","011331568","H","S575094"
"527","011331998","M","S846000"
"528","011332155","H","S711000"
"529","011333244","M","S477039"
"530","011334644","M","S711000"
"531","011337505","M","S724000"
"532","011337968","H","S458044"
"533","011338885","H","S574087"
"534","011342767","M","S574015"
"535","011346416","M","S575094"
"536","011404750","M","S715000"
"537","011407373","H","S575020"
"538","011408833","M","S574015"
"539","011409504","H","S477070"
"540","011410643","M","S846000"
"541","011410834","M","S458044"
"542","011410921","M","S846000"
"543","011411439","H","S574015"
"544","011411995","M","S715000"
"545","011413594","M","S846000"
"546","011413811","H","S846000"
"547","011414304","M","S574087"
"548","011415267","M","S132313"
"549","011416519","M","S715000"
"550","011418106","M","S573013"
"551","011418416","M","S709000"
"552","011419590","M","S458044"
"553","011419838","M","S715000"
"554","011419940","M","S825000"
"555","011422150","M","S464044"
"556","011422416","H","S477070"
"557","011423534","H","S574015"
"558","011423576","H","S711000"
"559","011424141","H","S456076"
"560","011427470","H","S456076"
"561","011429073","H","S574087"
"562","011429184","M","S724000"
"563","011429198","M","S132313"
"564","011429262","H","S054000"
"565","011429935","M","S134313"
"566","011430437","H","S134313"
"567","011433853","M","S575094"
"568","011434273","H","S456076"
"569","011435273","M","S477039"
"570","011436711","H","S574087"
"571","011436998","M","S477035"
"572","011437104","M","S825000"
"573","011437688","M","S456036"
"574","011437909","M","S132313"
"575","011440196","H","S458044"
"576","011442024","H","S711000"
"577","011442055","M","S477035"
"578","011442149","H","S477035"
"579","011443247","M","S477035"
"580","011443808","M","S705000"
"581","011443955","H","S467092"
"582","011444968","H","S573013"
"583","011445216","M","S477035"
"584","011445673","M","S825000"
"585","011446336","M","S134313"
"586","011506357","H","S132302"
"587","011510068","M","S705000"
"588","011510303","M","S458044"
"589","011510433","M","S477035"
"590","011513890","M","S132313"
"591","011518013","M","S458044"
"592","011520665","M","S132313"
"593","011521678","M","S132302"
"594","011522209","H","S477046"
"595","011523859","M","S477035"
"596","011524695","H","S477070"
"597","011526776","H","S555092"
"598","011527921","M","S846000"
"599","011528271","H","S705000"
"600","011531623","H","S477046"
"601","011532287","H","S574087"
"602","011534070","H","S477039"
"603","011535149","M","S132313"
"604","011539135","H","S709000"
"605","011541065","M","S132313"
"606","011542260","M","S132313"
"607","011542580","M","S458044"
"608","011543719","H","S573087"
"609","011544690","H","S477046"
"610","011546837","M","S477070"
"611","011547035","M","S134306"
"612","011609797","H","S477035"
