"","FOLIO","SEXO","OPC_ED01"
"3649","280302785","H","S574015"
"3650","280302836","H","S574015"
"3651","280302856","M","S709000"
"3652","280302866","M","S711000"
"3653","280302930","M","S573013"
"3654","280303096","H","S574015"
"3655","280303117","M","S711000"
"3656","280303169","H","S574087"
"3657","280303394","H","S456076"
"3658","280303465","M","S574015"
"3659","280303475","M","S709000"
"3660","280303497","M","S574087"
"3661","280303572","M","S574087"
"3662","280303639","M","S132313"
"3663","280303644","H","S573087"
"3664","280303829","H","S574087"
"3665","280303883","H","S456076"
"3666","280303917","M","S711000"
"3667","280304003","M","S574087"
"3668","280304037","M","S711000"
"3669","280304136","M","S574087"
"3670","280304180","M","S132313"
"3671","280304188","M","S574087"
"3672","280304206","M","S574087"
"3673","280304213","M","S132302"
"3674","280304266","M","S573013"
"3675","280304368","M","S574087"
"3676","280304423","H","S573087"
"3677","280304498","H","S711000"
"3678","280304544","H","S711000"
"3679","280304586","M","S711000"
"3680","280304605","H","S711000"
"3681","280304629","H","S573013"
"3682","280304657","M","S574087"
"3683","280304666","M","S574087"
"3684","280304746","H","S573087"
"3685","280304819","H","S711000"
"3686","280304935","H","S574087"
"3687","280304948","M","S763000"
"3688","280304964","M","S711000"
"3689","280304999","M","S709000"
"3690","280305022","M","S573087"
"3691","280305111","H","S711000"
"3692","280305123","H","S132313"
"3693","280305171","M","S574015"
"3694","280305191","H","S574015"
"3695","280305231","H","S574087"
"3696","280305407","H","S573087"
"3697","280305527","M","S711000"
"3698","280305643","M","S574087"
"3699","280305672","H","S574087"
"3700","280305682","M","S574087"
"3701","280305686","H","S132313"
"3702","280305691","H","S574015"
"3703","280305701","H","S574015"
"3704","280305704","H","S711000"
"3705","280305714","H","S709000"
"3706","280305726","M","S574015"
"3707","280305785","M","S711000"
"3708","280305884","M","S574087"
"3709","280305888","M","S709000"
"3710","280305927","M","S574087"
"3711","280305953","H","S711000"
"3712","280305963","H","S574015"
"3713","280306041","H","S574015"
"3714","280306166","M","S574087"
"3715","280306176","H","S574087"
"3716","280306180","M","S711000"
"3717","280306192","M","S132302"
"3718","280306196","M","S574087"
"3719","280306269","M","S711000"
"3720","280306273","H","S574015"
"3721","280306288","H","S574087"
"3722","280306303","M","S574087"
"3723","280306343","H","S574087"
"3724","280306375","H","S711000"
"3725","280306379","H","S574087"
"3726","280306406","H","S711000"
"3727","280306419","H","S711000"
"3728","280306482","M","S573013"
"3729","280306489","M","S573087"
"3730","280306506","H","S574087"
"3731","280306519","M","S573013"
"3732","280306676","H","S574087"
"3733","280306752","M","S711000"
"3734","280306759","H","S711000"
"3735","280306799","M","S132313"
"3736","280306802","H","S573013"
"3737","280306805","H","S574087"
"3738","280306878","M","S574087"
"3739","280306880","M","S573013"
"3740","280306883","M","S574087"
"3741","280306888","M","S709000"
"3742","280306901","H","S574087"
"3743","280306917","M","S573013"
"3744","280306922","M","S711000"
"3745","280306939","M","S573013"
"3746","280306992","M","S574015"
"3747","280307012","M","S574087"
"3748","280307118","M","S709000"
"3749","280307127","M","S574087"
"3750","280307248","H","S573013"
"3751","280307276","M","S709000"
"3752","280307285","M","S711000"
"3753","280307339","M","S711000"
"3754","280307369","H","S574087"
"3755","280307538","H","S711000"
"3756","280307555","M","S573087"
"3757","280307694","M","S573013"
"3758","280307724","M","S574087"
"3759","280307919","M","S574087"
"3760","280308018","M","S573013"
"3761","280308032","H","S574015"
"3762","280308150","M","S456076"
"3763","280308174","M","S709000"
"3764","280308243","M","S711000"
"3765","280308255","H","S574087"
"3766","280308291","H","S574015"
"3767","280308347","H","S574087"
"3768","280309267","M","S573013"
"3769","280309279","H","S574015"
"3770","280309306","M","S711000"
"3771","280309346","H","S574015"
"3772","280309349","H","S574015"
"3773","280309359","H","S573087"
"3774","280309382","M","S574087"
"3775","280309450","H","S574015"
"3776","280309467","H","S132302"
"3777","280309549","H","S763000"
"3778","280309570","H","S711000"
"3779","280309638","M","S574015"
"3780","280309671","M","S709000"
"3781","280309679","H","S711000"
"3782","280309773","H","S711000"
"3783","280309803","M","S573013"
"3784","280309859","H","S573013"
"3785","280309897","M","S132313"
"3786","280309930","M","S711000"
"3787","280309962","H","S711000"
"3788","280310092","H","S574087"
"3789","280310107","H","S573013"
"3790","280310129","H","S711000"
"3791","280310146","M","S711000"
"3792","280310174","H","S573087"
"3793","280310269","H","S574015"
"3794","280310327","H","S573013"
"3795","280310335","M","S574087"
"3796","280310345","H","S711000"
"3797","280310401","M","S574015"
"3798","280310468","H","S573013"
"3799","280310516","M","S711000"
"3800","280310525","M","S711000"
"3801","280310560","M","S574087"
"3802","280310597","H","S573013"
"3803","280310623","H","S711000"
"3804","280310639","H","S574015"
"3805","280310684","H","S573013"
"3806","280310720","M","S574015"
"3807","280310750","M","S574087"
"3808","280310814","M","S574087"
"3809","280310819","M","S574087"
"3810","280310840","M","S711000"
"3811","280310878","M","S573013"
"3812","280310902","H","S711000"
"3813","280310924","H","S711000"
"3814","280310948","M","S574087"
"3815","280311269","M","S711000"
"3816","280311283","H","S711000"
"3817","280400234","H","S711000"
"3818","280400257","M","S711000"
"3819","280400271","M","S574015"
"3820","280400282","M","S711000"
"3821","280400292","H","S574087"
"3822","280400354","H","S456076"
"3823","280400366","M","S573087"
"3824","280400775","H","S574087"
"3825","280400807","H","S456076"
"3826","280400809","M","S574087"
"3827","280400812","M","S711000"
"3828","280400929","M","S711000"
"3829","280400952","H","S711000"
"3830","280401033","M","S574087"
"3831","280401056","H","S574087"
"3832","280401073","M","S132313"
"3833","280401086","H","S711000"
"3834","280401131","M","S574087"
"3835","280401137","H","S574015"
"3836","280401143","M","S711000"
"3837","280401149","H","S574015"
"3838","280401182","M","S711000"
"3839","280401253","M","S711000"
"3840","280401299","H","S711000"
"3841","280401319","M","S573013"
"3842","280401329","M","S711000"
"3843","280401330","H","S573013"
"3844","280401385","H","S573013"
"3845","280401402","M","S574015"
"3846","280401407","H","S711000"
"3847","280401417","M","S709000"
"3848","280401474","M","S573087"
"3849","280401485","M","S574087"
"3850","280401493","H","S574087"
"3851","280401525","M","S711000"
"3852","280401538","M","S711000"
"3853","280401561","H","S574087"
"3854","280401591","H","S711000"
"3855","280401617","M","S574087"
"3856","280401632","H","S573087"
"3857","280401715","M","S711000"
"3858","280401724","M","S573013"
"3859","280401731","H","S711000"
"3860","280401752","H","S573013"
"3861","280401811","M","S132302"
"3862","280401875","H","S711000"
"3863","280401881","H","S711000"
"3864","280401909","H","S711000"
"3865","280401920","H","S711000"
"3866","280401954","M","S573013"
"3867","280402113","M","S709000"
"3868","280402175","M","S574087"
"3869","280402192","M","S711000"
"3870","280402404","M","S132313"
"3871","280402685","H","S573013"
"3872","280402812","M","S574087"
"3873","280402819","H","S574087"
"3874","280402826","M","S711000"
"3875","280402840","H","S574015"
"3876","280403023","M","S711000"
"3877","280403033","H","S573013"
"3878","280403040","M","S132313"
"3879","280403066","H","S574087"
"3880","280403142","M","S573013"
"3881","280403178","M","S573087"
"3882","280403247","H","S573013"
"3883","280403263","H","S573087"
"3884","280403278","M","S711000"
"3885","280403360","H","S132302"
"3886","280403487","M","S574015"
"3887","280403522","H","S574087"
"3888","280403554","M","S573087"
"3889","280403557","M","S132313"
"3890","280404523","M","S711000"
"3891","280404546","H","S574087"
"3892","280404556","M","S573013"
"3893","280404559","M","S573013"
"3894","280404595","M","S711000"
"3895","280404774","H","S573087"
"3896","280404809","M","S573013"
"3897","280404828","M","S574087"
"3898","280404840","M","S711000"
"3899","280404979","M","S132313"
"3900","280404984","H","S574087"
"3901","280405044","M","S574087"
"3902","280405064","M","S711000"
"3903","280405090","M","S574087"
"3904","280405164","H","S711000"
"3905","280405254","M","S573013"
"3906","280405302","H","S456076"
"3907","280405381","H","S711000"
"3908","280405409","M","S711000"
"3909","280405458","H","S574087"
"3910","280405675","M","S574087"
"3911","280405776","H","S573013"
"3912","280405873","H","S573087"
"3913","280406485","H","S709000"
"3914","280406583","M","S711000"
"3915","280406609","M","S711000"
"3916","280406635","M","S574087"
"3917","280406645","M","S711000"
"3918","280406651","M","S574087"
"3919","280406706","H","S573087"
"3920","280406787","M","S709000"
"3921","280406810","M","S132302"
"3922","280406867","M","S573087"
"3923","280406887","M","S574015"
"3924","280406896","H","S573087"
"3925","280406938","H","S574087"
"3926","280406948","H","S709000"
"3927","280406980","M","S711000"
"3928","280406995","M","S715000"
"3929","280407427","H","S574087"
"3930","280407473","M","S711000"
"3931","280407488","H","S711000"
"3932","280407514","H","S574015"
"3933","280407527","M","S574087"
"3934","280407611","H","S574015"
"3935","280407758","H","S573087"
"3936","280407775","M","S574087"
"3937","280407792","H","S573013"
"3938","280407957","H","S456036"
"3939","280407965","H","S573013"
"3940","280408424","H","S711000"
"3941","280408435","H","S132313"
"3942","280408443","H","S574087"
"3943","280408466","M","S574087"
"3944","280408526","M","S456036"
"3945","280408577","M","S132313"
"3946","280408599","M","S711000"
"3947","280408606","M","S573013"
"3948","280408660","M","S573013"
"3949","280408720","H","S709000"
"3950","280408751","H","S711000"
"3951","280408756","M","S574087"
"3952","280408762","M","S711000"
"3953","280408781","M","S711000"
"3954","280408858","H","S574015"
"3955","280408877","H","S711000"
"3956","280408939","H","S711000"
"3957","280408970","M","S711000"
"3958","280409062","M","S574087"
"3959","280409082","M","S709000"
"3960","280409366","H","S573087"
"3961","280409461","M","S574087"
"3962","280409721","H","S456076"
"3963","280409853","M","S711000"
"3964","280410016","H","S573013"
"3965","280410030","M","S132313"
"3966","280410039","H","S456076"
"3967","280410043","M","S573013"
"3968","280410066","H","S574015"
"3969","280410264","H","S574087"
"3970","280410305","H","S574087"
"3971","280410344","M","S573013"
"3972","280410397","M","S711000"
"3973","280410427","H","S574087"
"3974","280410523","H","S574015"
"3975","280410563","M","S715000"
"3976","280410569","M","S574087"
"3977","280410617","M","S574015"
"3978","280410635","H","S574087"
"3979","280410659","H","S573087"
"3980","280410664","H","S573013"
"3981","280410710","M","S573087"
"3982","280410746","M","S573013"
"3983","280410776","M","S574087"
"3984","280410807","M","S711000"
"3985","280410822","M","S709000"
"3986","280410827","M","S574087"
"3987","280500056","H","S573013"
"3988","280500138","H","S573087"
"3989","280500145","M","S574087"
"3990","280500227","H","S711000"
"3991","280500250","H","S763000"
"3992","280500546","H","S573087"
"3993","280500582","M","S573087"
"3994","280500603","M","S711000"
"3995","280500743","M","S574015"
"3996","280500750","H","S711000"
"3997","280500847","H","S711000"
"3998","280500861","M","S715000"
"3999","280500895","M","S709000"
"4000","280501257","H","S574015"
"4001","280501274","M","S711000"
"4002","280501303","H","S711000"
"4003","280501426","H","S763000"
"4004","280501492","H","S711000"
"4005","280501598","H","S574087"
"4006","280501637","H","S574087"
"4007","280501846","H","S574087"
"4008","280501927","H","S573013"
"4009","280501933","H","S573087"
"4010","280501948","M","S711000"
"4011","280501959","H","S132302"
"4012","280501974","H","S573087"
"4013","280502137","H","S711000"
"4014","280502154","H","S477046"
"4015","280502226","M","S132313"
"4016","280502272","H","S711000"
"4017","280502333","M","S711000"
"4018","280502385","H","S574015"
"4019","280502532","M","S573013"
"4020","280502643","H","S711000"
"4021","280502667","H","S711000"
"4022","280502698","H","S573087"
"4023","280502775","M","S574087"
"4024","280502786","M","S711000"
"4025","280502795","H","S574015"
"4026","280502862","M","S711000"
"4027","280502873","M","S711000"
"4028","280502941","H","S711000"
"4029","280503001","M","S709000"
"4030","280503043","M","S573013"
"4031","280503168","M","S763000"
"4032","280503195","M","S711000"
"4033","280503289","H","S574015"
"4034","280503317","M","S573013"
"4035","280503420","H","S574087"
"4036","280503461","M","S573013"
"4037","280503505","M","S715000"
"4038","280503532","H","S711000"
"4039","280503622","M","S573013"
"4040","280503657","H","S132313"
"4041","280503663","H","S711000"
"4042","280503742","M","S715000"
"4043","280503750","M","S574087"
"4044","280503797","M","S711000"
"4045","280503813","H","S574015"
"4046","280503895","M","S132313"
"4047","280503977","H","S456076"
"4048","280503984","M","S574087"
"4049","280503999","H","S573087"
"4050","280504006","M","S711000"
"4051","280504039","M","S711000"
"4052","280504057","M","S574087"
"4053","280504105","M","S456036"
"4054","280504149","M","S574015"
"4055","280504932","M","S711000"
"4056","280504940","M","S711000"
"4057","280505016","M","S132302"
"4058","280505061","H","S573013"
"4059","280505113","M","S132313"
"4060","280505194","H","S573087"
"4061","280505248","H","S574087"
"4062","280505391","H","S574087"
"4063","280505431","H","S132302"
"4064","280505456","H","S574087"
"4065","280505510","M","S711000"
"4066","280505603","M","S711000"
"4067","280507097","H","S132313"
"4068","280507245","M","S573087"
"4069","280507336","H","S574015"
"4070","280507386","M","S573087"
"4071","280507396","H","S574087"
"4072","280507469","H","S711000"
"4073","280507491","M","S574015"
"4074","280507497","H","S574015"
"4075","280507512","H","S711000"
"4076","280507650","M","S709000"
"4077","280507661","H","S573013"
"4078","280507667","M","S711000"
"4079","280507701","M","S763000"
"4080","280507720","H","S574087"
"4081","280507755","H","S709000"
"4082","280507759","M","S573013"
"4083","280507793","M","S709000"
"4084","280507798","H","S574087"
"4085","280507856","M","S573013"
"4086","280507870","H","S711000"
"4087","280507955","M","S574087"
"4088","280507988","M","S711000"
"4089","280508011","H","S573087"
"4090","280508038","H","S574087"
"4091","280508088","H","S573013"
"4092","280508178","H","S711000"
"4093","280508299","M","S132313"
"4094","280508336","M","S132313"
"4095","280508349","H","S711000"
"4096","280508372","M","S709000"
"4097","280508380","M","S711000"
"4098","280508387","M","S573013"
"4099","280508416","M","S132302"
"4100","280508456","H","S573013"
"4101","280509398","M","S711000"
"4102","280509405","M","S132313"
"4103","280509637","M","S132313"
"4104","280509774","M","S711000"
"4105","280509829","H","S574087"
"4106","280509846","M","S573013"
"4107","280509871","M","S711000"
"4108","280509917","M","S711000"
"4109","280509934","M","S573087"
"4110","280510017","M","S711000"
"4111","280510050","H","S574087"
"4112","280510067","M","S574015"
"4113","280510074","H","S573013"
"4114","280510130","H","S711000"
"4115","280510165","M","S573013"
"4116","280510179","H","S574015"
"4117","280510263","H","S574087"
"4118","280510276","M","S132302"
"4119","280510362","H","S573013"
"4120","280510387","H","S574087"
"4121","280510448","M","S574015"
"4122","280510536","M","S573087"
"4123","280510587","M","S132302"
"4124","280510600","H","S573013"
"4125","280510858","M","S574087"
"4126","280600125","M","S711000"
"4127","280600147","M","S574087"
"4128","280600197","M","S709000"
"4129","280600208","H","S574087"
"4130","280600233","M","S132313"
"4131","280600266","M","S573013"
"4132","280600314","H","S711000"
"4133","280600426","H","S574087"
"4134","280600481","H","S711000"
"4135","280600563","M","S711000"
"4136","280600692","H","S132302"
"4137","280600710","H","S711000"
"4138","280600741","H","S711000"
"4139","280600803","M","S574087"
"4140","280600828","H","S711000"
"4141","280600884","H","S574087"
"4142","280600910","M","S573013"
"4143","280601216","H","S574087"
"4144","280601222","H","S574087"
"4145","280601262","H","S711000"
"4146","280601273","M","S574087"
"4147","280601431","H","S574015"
"4148","280601601","M","S711000"
"4149","280601680","M","S573087"
"4150","280601753","H","S711000"
"4151","280601774","M","S711000"
"4152","280601940","M","S711000"
"4153","280601999","H","S709000"
"4154","280602047","M","S711000"
"4155","280602056","M","S573087"
"4156","280602112","M","S574087"
"4157","280602185","M","S709000"
"4158","280602207","M","S711000"
"4159","280602243","M","S573013"
"4160","280602471","M","S574015"
"4161","280602498","H","S573013"
"4162","280602545","H","S711000"
"4163","280602622","H","S711000"
"4164","280602683","H","S709000"
"4165","280602778","H","S574087"
"4166","280602848","H","S711000"
"4167","280602957","H","S132313"
"4168","280603039","H","S574015"
"4169","280603047","H","S573013"
"4170","280603071","M","S711000"
"4171","280603077","H","S711000"
"4172","280603116","H","S711000"
"4173","280603121","M","S573013"
"4174","280603352","H","S574087"
"4175","280603486","H","S132313"
"4176","280603510","H","S573013"
"4177","280603517","H","S456076"
"4178","280603559","H","S711000"
"4179","280603574","M","S574087"
"4180","280603702","M","S574015"
"4181","280603746","M","S574087"
"4182","280603767","M","S574087"
"4183","280603817","M","S709000"
"4184","280603852","M","S573087"
"4185","280603908","H","S456076"
"4186","280603935","M","S132313"
"4187","280604026","H","S711000"
"4188","280604054","M","S763000"
"4189","280604099","H","S711000"
"4190","280604174","H","S573087"
"4191","280604179","H","S573013"
"4192","280604426","H","S711000"
"4193","280604545","M","S132313"
"4194","280604594","H","S574087"
"4195","280604604","H","S574087"
"4196","280604618","H","S573013"
"4197","280604645","H","S711000"
"4198","280604676","H","S574087"
"4199","280604757","M","S711000"
"4200","280604808","H","S132313"
"4201","280604897","H","S711000"
"4202","280604951","M","S574087"
"4203","280605009","M","S574087"
"4204","280605040","M","S711000"
"4205","280605078","H","S132313"
"4206","280605170","H","S573013"
"4207","280605288","M","S573013"
"4208","280605301","H","S574087"
"4209","280605312","M","S711000"
"4210","280605349","H","S573013"
"4211","280605501","M","S711000"
"4212","280605521","H","S711000"
"4213","280605662","H","S574015"
"4214","280605736","H","S573013"
"4215","280605739","M","S711000"
"4216","280605749","H","S711000"
"4217","280606028","M","S711000"
"4218","280606057","M","S711000"
"4219","280606088","M","S573013"
"4220","280606101","H","S573013"
"4221","280606213","H","S573013"
"4222","280606233","H","S574087"
"4223","280606238","M","S574087"
"4224","280606542","M","S711000"
"4225","280606599","H","S574015"
"4226","280606602","H","S711000"
"4227","280606626","H","S573087"
"4228","280606652","H","S573013"
"4229","280606701","H","S574087"
"4230","280606729","M","S132313"
"4231","280607084","H","S573013"
"4232","280607094","M","S573013"
"4233","280607102","M","S711000"
"4234","280607112","M","S709000"
"4235","280607157","H","S711000"
"4236","280607194","H","S711000"
"4237","280607226","M","S711000"
"4238","280607259","M","S574087"
"4239","280607340","M","S132302"
"4240","280607640","H","S573087"
"4241","280607647","H","S573087"
"4242","280607745","M","S574087"
"4243","280607895","M","S763000"
"4244","280607913","M","S574015"
"4245","280607928","M","S574087"
"4246","280607942","M","S709000"
"4247","280608230","M","S709000"
"4248","280608296","M","S573087"
"4249","280608309","M","S574087"
"4250","280608314","H","S574087"
"4251","280608356","M","S711000"
"4252","280608384","H","S574015"
"4253","280608390","H","S711000"
"4254","280608394","M","S711000"
"4255","280608603","H","S573013"
"4256","280608676","H","S711000"
"4257","280608683","M","S711000"
"4258","280608718","M","S132313"
"4259","280608994","M","S711000"
"4260","280609040","M","S574087"
"4261","280609048","H","S573013"
"4262","280609102","H","S709000"
"4263","280609137","H","S573087"
"4264","280609173","H","S132302"
"4265","280609181","M","S574015"
"4266","280609207","M","S711000"
"4267","280609235","M","S573013"
"4268","280609504","M","S573013"
"4269","280609553","M","S573013"
"4270","280609690","H","S132313"
"4271","280609793","H","S711000"
"4272","280609835","M","S709000"
"4273","280609848","M","S573013"
"4274","280609855","M","S132313"
"4275","280610292","M","S711000"
"4276","280610365","H","S711000"
"4277","280610546","M","S711000"
"4278","280610594","M","S574015"
"4279","280610700","H","S711000"
"4280","280700096","H","S574015"
"4281","280700106","H","S574087"
"4282","280700191","H","S456076"
"4283","280700210","M","S132313"
"4284","280700214","M","S573013"
"4285","280700299","H","S132302"
"4286","280700370","H","S711000"
"4287","280700393","H","S711000"
"4288","280700423","M","S711000"
"4289","280700501","M","S709000"
"4290","280700551","H","S573087"
"4291","280700561","M","S573013"
"4292","280700592","M","S574015"
"4293","280700783","M","S711000"
"4294","280700810","H","S573087"
"4295","280700845","H","S574015"
"4296","280700867","M","S132313"
"4297","280700906","H","S711000"
"4298","280700937","M","S456036"
"4299","280700941","H","S132313"
"4300","280700953","H","S711000"
"4301","280700974","M","S573013"
"4302","280701081","H","S573013"
"4303","280701108","H","S132302"
"4304","280701117","M","S709000"
"4305","280701128","M","S711000"
"4306","280701246","M","S711000"
"4307","280701352","M","S711000"
"4308","280701370","M","S573013"
"4309","280701379","H","S711000"
"4310","280701405","H","S763000"
"4311","280701411","H","S574015"
"4312","280701415","M","S573087"
"4313","280701421","M","S711000"
"4314","280701486","H","S573013"
"4315","280701644","M","S132313"
"4316","280701651","M","S574015"
"4317","280701718","M","S574087"
"4318","280701734","M","S477070"
"4319","280701743","H","S711000"
"4320","280701773","H","S573087"
"4321","280701786","M","S132313"
"4322","280702042","M","S573087"
"4323","280702063","H","S573087"
"4324","280702097","H","S574087"
"4325","280702122","M","S573013"
"4326","280702172","M","S574087"
"4327","280702178","H","S574087"
"4328","280702204","H","S711000"
"4329","280702242","M","S574087"
"4330","280702304","M","S711000"
"4331","280702350","H","S574015"
"4332","280702512","H","S456076"
"4333","280702551","H","S574087"
"4334","280702758","M","S574087"
"4335","280702831","M","S711000"
"4336","280702935","H","S711000"
"4337","280703000","H","S574015"
"4338","280703060","M","S574087"
"4339","280703070","M","S711000"
"4340","280703094","M","S709000"
"4341","280703126","H","S711000"
"4342","280703312","M","S711000"
"4343","280703358","H","S574015"
"4344","280703392","H","S132313"
"4345","280703401","H","S574015"
"4346","280703641","H","S711000"
"4347","280703683","M","S711000"
"4348","280703748","M","S132313"
"4349","280703799","H","S573087"
"4350","280703849","M","S132313"
"4351","280703866","M","S574087"
"4352","280703873","M","S711000"
"4353","280703879","M","S715000"
"4354","280703965","M","S763000"
"4355","280703972","H","S574015"
"4356","280703981","M","S574087"
"4357","280704115","H","S711000"
"4358","280704189","M","S711000"
"4359","280704194","M","S456076"
"4360","280704258","H","S574087"
"4361","280704302","M","S574087"
"4362","280704319","M","S711000"
"4363","280704455","M","S574087"
"4364","280704778","H","S711000"
"4365","280704810","H","S132302"
"4366","280704839","M","S574087"
"4367","280704866","M","S573087"
"4368","280704883","H","S711000"
"4369","280704902","H","S573087"
"4370","280704919","H","S711000"
"4371","280704929","H","S574015"
"4372","280704952","H","S711000"
"4373","280704992","M","S574087"
"4374","280705011","H","S709000"
"4375","280705058","M","S711000"
"4376","280705099","M","S711000"
"4377","280705154","H","S574015"
"4378","280705168","H","S711000"
"4379","280705197","H","S711000"
"4380","280705203","H","S573087"
"4381","280705217","H","S711000"
"4382","280705287","M","S711000"
"4383","280705327","M","S574087"
"4384","280705357","H","S711000"
"4385","280705415","H","S573087"
"4386","280705438","H","S711000"
"4387","280705486","H","S711000"
"4388","280705507","M","S132313"
"4389","280705517","M","S709000"
"4390","280705533","H","S574087"
"4391","280705559","H","S763000"
"4392","280705565","H","S574087"
"4393","280705594","H","S574015"
"4394","280705636","M","S132313"
"4395","280705653","M","S574087"
"4396","280705771","M","S711000"
"4397","280705790","M","S711000"
"4398","280705821","M","S574087"
"4399","280705928","H","S456076"
"4400","280705936","M","S573013"
"4401","280705949","H","S711000"
"4402","280706023","M","S709000"
"4403","280706030","M","S573013"
"4404","280706048","H","S574087"
"4405","280706058","M","S573013"
"4406","280706113","M","S574087"
"4407","280706154","H","S711000"
"4408","280706182","H","S574087"
"4409","280706234","M","S574087"
"4410","280706239","M","S711000"
"4411","280706296","M","S574087"
"4412","280706307","M","S709000"
"4413","280706318","M","S574087"
"4414","280706377","M","S711000"
"4415","280706383","H","S574087"
"4416","280706431","H","S711000"
"4417","280706478","M","S573013"
"4418","280706493","M","S711000"
"4419","280706502","M","S573013"
"4420","280706509","H","S132302"
"4421","280706518","M","S574087"
"4422","280706545","H","S573087"
"4423","280706576","H","S711000"
"4424","280706597","M","S573013"
"4425","280706607","H","S574087"
"4426","280706627","M","S709000"
"4427","280706688","H","S574087"
"4428","280706717","H","S574087"
"4429","280706751","M","S711000"
"4430","280706788","M","S711000"
"4431","280707033","M","S715000"
"4432","280707066","H","S573013"
"4433","280707092","M","S711000"
"4434","280707114","H","S574015"
"4435","280707124","M","S715000"
"4436","280707156","M","S711000"
"4437","280707275","M","S711000"
"4438","280707299","H","S573013"
"4439","280707349","M","S132302"
"4440","280707363","H","S711000"
"4441","280707462","M","S574015"
"4442","280707641","H","S573087"
"4443","280707664","M","S573087"
"4444","280707705","M","S573087"
"4445","280707771","M","S573013"
"4446","280707794","M","S711000"
"4447","280707865","H","S574087"
"4448","280707883","H","S573013"
"4449","280707915","M","S574087"
"4450","280707964","H","S711000"
"4451","280708107","M","S132313"
"4452","280708187","H","S711000"
"4453","280708212","M","S574015"
"4454","280708257","M","S573087"
"4455","280708261","H","S715000"
"4456","280708274","M","S711000"
"4457","280708305","M","S711000"
"4458","280708337","M","S711000"
"4459","280708354","M","S573013"
"4460","280708427","M","S711000"
"4461","280708449","H","S573013"
"4462","280708463","M","S573013"
"4463","280708506","M","S573013"
"4464","280708596","M","S574087"
"4465","280708753","M","S573013"
"4466","280708824","H","S573087"
"4467","280708909","H","S711000"
"4468","280708988","M","S709000"
"4469","280709009","H","S573087"
"4470","280709022","H","S711000"
"4471","280709032","H","S573087"
"4472","280709073","H","S132302"
"4473","280709162","H","S574087"
"4474","280709506","M","S132302"
"4475","280709523","H","S574015"
"4476","280709594","M","S574087"
"4477","280709602","M","S574087"
"4478","280709663","H","S711000"
"4479","280709676","M","S709000"
"4480","280709742","M","S763000"
"4481","280709762","M","S573013"
"4482","280709784","M","S574015"
"4483","280709879","H","S574015"
"4484","280709965","H","S574087"
"4485","280710020","M","S574087"
"4486","280710155","M","S711000"
"4487","280710159","M","S711000"
"4488","280710185","H","S574015"
"4489","280710234","H","S573013"
"4490","280710328","M","S573013"
"4491","280710407","H","S711000"
"4492","280710499","M","S711000"
"4493","280710514","H","S711000"
"4494","280710520","H","S574015"
"4495","280710809","M","S715000"
"4496","280710817","M","S574087"
"4497","280710829","M","S711000"
"4498","280710836","M","S573013"
"4499","280710838","H","S132302"
"4500","280800074","M","S574087"
"4501","280800084","M","S574087"
"4502","280800087","M","S573013"
"4503","280800099","M","S574015"
"4504","280800110","M","S711000"
"4505","280800150","M","S711000"
"4506","280800190","H","S711000"
"4507","280800209","H","S573087"
"4508","280800215","M","S132313"
"4509","280800224","M","S574015"
"4510","280800232","M","S711000"
"4511","280800256","M","S711000"
"4512","280800260","M","S477070"
"4513","280800269","H","S574015"
"4514","280800326","H","S711000"
"4515","280800337","M","S573013"
"4516","280800359","M","S574087"
"4517","280800418","H","S574087"
"4518","280800472","H","S573087"
"4519","280800477","M","S573013"
"4520","280800585","H","S456076"
"4521","280800628","H","S574015"
"4522","280800678","H","S573087"
"4523","280800733","H","S573013"
"4524","280800748","M","S132302"
"4525","280800786","M","S573013"
"4526","280800836","H","S711000"
"4527","280800848","H","S573087"
"4528","280800857","M","S574087"
"4529","280800899","M","S711000"
"4530","280800913","M","S573087"
"4531","280800979","M","S711000"
"4532","280800992","H","S573087"
"4533","280801034","H","S574087"
"4534","280801064","M","S573013"
"4535","280801121","M","S573013"
"4536","280801165","H","S574087"
"4537","280801190","H","S709000"
"4538","280801208","M","S711000"
"4539","280801265","M","S711000"
"4540","280801297","H","S711000"
"4541","280801386","M","S574015"
"4542","280801606","M","S573013"
"4543","280801792","H","S574015"
"4544","280801804","H","S573087"
"4545","280801944","M","S763000"
"4546","280802003","M","S711000"
"4547","280802011","M","S132313"
"4548","280802020","M","S711000"
"4549","280802030","H","S573087"
"4550","280802110","M","S574087"
"4551","280802190","M","S574087"
"4552","280802213","H","S574015"
"4553","280802251","M","S711000"
"4554","280802259","M","S574087"
"4555","280802290","M","S711000"
"4556","280802306","H","S709000"
"4557","280802412","M","S711000"
"4558","280802421","H","S132313"
"4559","280802588","H","S709000"
"4560","280802714","H","S574087"
"4561","280802736","H","S574087"
"4562","280802860","H","S573087"
"4563","280802889","M","S711000"
"4564","280802901","H","S574015"
"4565","280802915","M","S573013"
"4566","280802921","H","S573013"
"4567","280802997","H","S574087"
"4568","280803003","M","S711000"
"4569","280803061","H","S711000"
"4570","280803119","H","S711000"
"4571","280803136","H","S573013"
"4572","280803236","M","S763000"
"4573","280803282","M","S574015"
"4574","280803411","M","S715000"
"4575","280803512","H","S574087"
"4576","280803565","M","S711000"
"4577","280803599","H","S711000"
"4578","280803625","M","S711000"
"4579","280803660","M","S574087"
