Hoover_2018,Hoover_2013
0.4403657501221071,0.4674338101153673
0.42780710563897567,0.48176710044113524
0.46941057318074375,0.4700428774186895
0.4175410686477133,0.49565354930063726
0.4817118853966611,0.4833367345551785
0.444005588457564,0.4704771188883068
0.4894669635545605,0.46310679717849246
0.48007216715212864,0.48137001803536744
0.39207279258758954,0.41641363168891565
0.49373294691909886,0.4938190930692594
0.47380122060692986,0.4752437131247902
0.46542041802105094,0.46449573896582674
0.4654737679781818,0.46547354192249135
0.46193568873879776,0.46376956481540466
0.4520006124394271,0.4530562494981092
0.43260358775843705,0.48581609306633683
0.4668059975057515,0.46677668384891474
0.416574046071254,0.41714772890670043
0.4657381789193485,0.4675442715916545
0.43692831495259654,0.46313038692127334
0.4787665081443261,0.40091459934204454
0.48691038194922637,0.48936046931572913
0.4907575615029095,0.4919343491659554
0.48946170262963157,0.43767310635595275
0.48810375724518923,0.4887797255694117
0.48515993737857327,0.4856260297896932
0.49413860791388625,0.49330234548846064
0.49952607550344386,0.4320020347706631
0.44311104129456547,0.46953141839379436
0.4797893497040562,0.47899151321310907
0.4901823163973278,0.41134156719166065
0.46904513831952815,0.4430891906822551
0.44383519456917087,0.4443250170563862
