industry_id,Aguascalientes,Baja California,Baja California Sur,CDMX,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Año
"11. Agricultura, ganadería, aprovechamiento forestal, pesca y caza (solo pesca y acuicultura animal)",0.0425548336502824,0.8158664764991957,3.7390369584249923,0.0,6.458924705429145,3.311176622434055,0.17257831673912108,0.06964432374767854,1.4959529139270544,0.16166952397109444,0.13388184431358405,4.160594414015561,0.40381478262076315,0.4933877384711647,0.05380579006125972,1.2905110602351333,0.4653409021107508,6.675024363247121,0.017653018125979244,2.3849706258090113,0.22797963756000073,0.11366107766829704,0.5139661827867834,0.11792796183344234,6.351123423837032,4.277020993560497,4.963562374245155,0.037121713203206536,0.31731300968120757,2.3259297719851126,2.9289653126944297,0.356393301283746,2018
21. Minería,1.2613168793734584,0.12254755776248677,2.4949811146965826,0.25567262391111095,13.105809400382427,1.1912842022982326,2.2561973584112756,2.457053042415113,2.489896014039211,5.818462956367504,0.2733979457503141,1.005602279982795,1.0629831678338646,0.14361330873748698,0.15081099628336728,0.0,0.05496912313064639,0.0,0.2325075568130827,0.0,0.3159376791444602,0.4252465762459084,0.142893789833886,1.2066351117984435,0.6179881570995291,3.6006587197847657,6.12842687284076,36.4220654602169,0.0,1.5523270043475346,0.3350996530044781,9.429786740180836,2018
"22. Electricidad, agua y suministro de gas por ductos al consumidor final",0.0,0.0,1.0137837778816179,2.610043346913742,0.0,0.8005891382278345,0.5924220907116162,0.44703632704939206,0.0,0.6964504737516314,0.4725183610187028,1.164967745667606,0.96170362614776,0.6280332599329419,0.7699617037053098,0.7067939195500488,0.8211630122793745,0.0,0.5630522997039025,1.1132734379129137,0.5017220362971132,0.40599281035782536,0.43853199614466326,0.641090213403298,0.8603883279781495,1.128303620669932,1.2635864340690657,0.5722314818757891,0.4716529333924841,1.9414375970033848,0.49318806374327756,0.9904292981982281,2018
23. Construcción,1.170830331992676,0.8089357314095407,2.0234957071643263,1.0354551348484926,1.2915357115339048,0.8917961235802934,0.798820414787883,1.1062700380656707,1.6144148873769681,1.1652946695782618,0.9325064789092428,0.46786800942521756,0.9214706619937616,1.252665973970586,0.46139238849684444,0.8422609759116432,0.8004544869950084,0.9980849928867545,1.1504825727717491,0.7919494212024958,0.7784870084183243,1.2742022431362805,0.7380699678732602,1.0451091355271194,1.8020919754459337,1.3440196995249765,1.2113555784217156,0.07176864450007109,0.3649031384622023,1.009038511745283,1.7455684650070349,1.2026863323064705,2018
31-33. Industrias manufacturera,1.5236739478686445,1.7483621563286216,0.2291295192183274,0.3493714963551889,0.39633050691732497,0.5108380312261094,2.0397723014787323,1.7953163914410442,0.45400407618330474,1.221772492076366,1.542630823129377,0.6769257914036274,1.0926232344749058,1.0779430538291108,1.0564701719903258,0.7685024377463083,0.7547600379679079,0.41774648314318813,1.294345440880554,0.77409654146614,1.1428543969153253,1.4122802638316645,0.14060450422662302,1.4177062133687435,0.5379315970824478,1.2287721394692377,0.36714746143370197,2.077591814270508,1.5024768928857117,0.6036583916077384,0.9129685171509865,0.9308732695806712,2018
43. Comercio al por mayor,1.0391013023752966,0.8555436966859058,0.9084738212232146,1.0084836323759803,0.8041192079461418,0.9619333263311945,0.7449881363699291,0.69444650043744,1.1527096070520444,0.918856782568373,0.9829539041162857,0.7789403692975334,0.8594997020909858,1.3479451101409234,1.1396922735119024,1.3152333043738182,0.8489162786691057,0.7912614334414892,1.0756816631190158,0.772047658066877,0.924078977527441,0.9436503918806839,0.6344104800485364,1.0262935203137895,1.2534789028664741,0.9409671003478479,0.9813511745840405,1.2383624886263287,0.6331487779650481,0.9866828711422719,0.9624564872739111,1.0207849333866632,2018
46. Comercio al por menor,0.8601045656845916,0.7729959105216713,0.9120356574698678,0.665371496108329,1.0682462334195675,1.6001884320835065,0.7296005273816407,0.690329289891122,1.0640649540260174,0.9887271875748875,0.969121013458351,1.4921039864928327,1.3321568162993318,1.0204354009899224,1.324028249204608,1.3484173999795497,1.3517984748690617,1.1411690979581994,0.6685237194205018,1.5100586030277505,1.259945892219634,0.7106896047551056,0.9429915589747806,0.9353230302461717,1.1143194314759965,0.8350974549776493,1.454229535633623,0.36641286744114,1.3263114828690277,1.4150951727074954,1.0422540870442738,1.2109035691355163,2018
"48-49. Transportes, correos y almacenamiento",0.83397778705971,0.9225933648545972,0.9819141267051817,1.377483040706479,0.8367464684192638,0.8251246770849049,0.7639923413831355,0.8122714163490353,2.8344297572300237,1.1369155410524676,0.9702277380177284,0.5915998221448129,0.7187081044392084,0.7539424770203625,1.1350145858536094,0.8233265980671143,0.850529599432648,0.4101354551891128,1.4187275823935963,0.6179164355595367,0.7661720270846348,0.8329490046007418,0.7730302478799373,0.7801336906127329,1.1106232429268532,0.6425811897769901,1.0176636107379669,0.9736444053688385,0.4349247494044204,1.1295333173712814,0.8221453085248972,0.5128380306073853,2018
51. Información en medios masivos,0.28301561959820815,0.43132496007289955,0.47488494662768316,3.4649472373795347,0.6991963357875831,0.3934676773986985,0.6145649115147452,0.39411097653669125,0.3915076826825338,0.34551252860270515,0.2489141566295998,0.32524696612576054,0.36267229215845426,1.1115680533590837,0.34805639509821035,0.5020060731170765,0.4852506254763208,0.211721753258949,0.9121477812440615,0.35457648813108755,0.39669770437031904,0.2897606246816159,0.5196352440892019,0.34276666283295654,0.4624655052156896,0.42499507454468993,0.8595226935842919,1.7582365960821535,0.15001688215913847,0.4297334175574718,0.562374048708276,0.9105795410225094,2018
52.Servicios financieros y de seguros,0.2638930736726864,0.2515809662498795,0.19293715716309368,3.7721805990316235,0.0,0.6790460858178692,0.1934868283912224,0.45797309483548665,0.33981310948208254,0.29767557916563414,0.5134586631678008,0.27304698919404863,0.32158738233623735,0.314518824084498,0.3023715098641967,0.3952671935616852,0.2902416039948331,0.3548946503442031,1.6196968074064269,0.5246425878099907,0.32960550320729354,0.40740390206219984,0.21492164719985743,0.28553456342720973,0.4046156661253142,0.36012211307225706,0.450729869842792,0.034041084319500314,0.22529415553288704,0.44888572891795164,0.562578451365579,0.2666083012226898,2018
